RentalMedianID,Postcode,Suburb,City,State,StateCode,1 BR Flat,2 BR Flat,3 BR Flat,4 BR Flat,1 BR House,2 BR House,3 BR House,4 BR House
1,5000,Adelaide,Adelaide,South Australia,SA,305,450,550,,162.5,425,450,452.5
2,5001,Adelaide,Adelaide,South Australia,SA,305,450,550,,162.5,425,450,452.5
3,5159,Aberfoyle Park,Adelaide,South Australia,SA,,320,370,,,380,345,425
4,5000,City West Campus,Adelaide,South Australia,SA,,,,,,,,
5,5000,Halifax Street,Adelaide,South Australia,SA,,,,,,,,
6,5014,Albert Park,Adelaide,South Australia,SA,205.5,259.2,,,,275,350,390
7,5000,Hutt Street,Adelaide,South Australia,SA,,,,,,,,
8,5014,Alberton,Adelaide,South Australia,SA,210,277.5,,,,,347.5,450
9,5000,Parliament House,Adelaide,South Australia,SA,,,,,,,,
10,5173,Aldinga,Adelaide,South Australia,SA,,235,,,280,250,325,355
11,5000,Rundle Mall,Adelaide,South Australia,SA,,,,,,,,
12,5173,Aldinga Beach,Adelaide,South Australia,SA,,240,320,,,270,325,380
13,5000,Station Arcade,Adelaide,South Australia,SA,,,,,,,,
14,5009,Allenby Gardens,Adelaide,South Australia,SA,,290,320,,,370,380,482.5
15,5000,Sturt Street,Adelaide,South Australia,SA,,,,,,,,
16,5114,Andrews Farm,Adelaide,South Australia,SA,,194,290,,212.5,202,290,335
17,5010,Angle Park,Adelaide,South Australia,SA,230,240,,,,97.87,215,
18,5005,Adelaide University,Adelaide,South Australia,SA,,,,,,,,
19,5117,Angle Vale,Adelaide,South Australia,SA,,,,,,,350,
20,5005,The University Of Adelaide,Adelaide,South Australia,SA,,,,,,,,
21,5043,Ascot Park,Adelaide,South Australia,SA,220,281.25,320,395,176,,365,475
22,5005,University Of Adelaide,Adelaide,South Australia,SA,,,,,,,,
23,5035,Ashford,Adelaide,South Australia,SA,,297.5,380,,,425,460,412.5
24,5006,North Adelaide,Adelaide,South Australia,SA,310,360,480,,372.5,395,570,782.5
25,5076,Athelstone,Adelaide,South Australia,SA,,320,345,,,320,397.5,550
26,5006,North Adelaide Melbourne St,Adelaide,South Australia,SA,,340,,,,,,
27,5012,Athol Park,Adelaide,South Australia,SA,,300,345,,,155.45,382.5,
28,5007,Bowden,Adelaide,South Australia,SA,253,395,352.1,,260,252.8,416,
29,5072,Auldana,Adelaide,South Australia,SA,,,,,,,420,
30,5007,Brompton,Adelaide,South Australia,SA,,360,395,,335,360,422.5,532.5
31,5091,Banksia Park,Adelaide,South Australia,SA,,,,,,,370,410
32,5007,Hindmarsh,Adelaide,South Australia,SA,190,275,,,,307.5,,
33,5066,Beaumont,Adelaide,South Australia,SA,,,,,,292.5,,
34,5007,Welland,Adelaide,South Australia,SA,,375,,,,320,450,360
35,5042,Bedford Park,Adelaide,South Australia,SA,,297.5,320,,150,,350,360
36,5007,West Hindmarsh,Adelaide,South Australia,SA,220,300,370,,,325,415,470
37,5052,Belair,Adelaide,South Australia,SA,225,,,,,,387.5,555
38,5008,Croydon,Adelaide,South Australia,SA,,250,,,147.5,160,330,150
39,5050,Bellevue Heights,Adelaide,South Australia,SA,222.5,,360,,,305,355,400
40,5008,Croydon Park,Adelaide,South Australia,SA,,267.5,,,,320,355,
41,5067,Beulah Park,Adelaide,South Australia,SA,,270,555,,,345,415,720
42,5008,Croydon Park South,Adelaide,South Australia,SA,,,,,,,,
43,5009,Beverley,Adelaide,South Australia,SA,,195,,,,37.75,350,425
44,5008,Devon Park,Adelaide,South Australia,SA,,257.5,,,,300,370,
45,5015,Birkenhead,Adelaide,South Australia,SA,,315,,,,395,370,480
46,5008,Dudley Park,Adelaide,South Australia,SA,,260,,,,,320,
47,5035,Black Forest,Adelaide,South Australia,SA,240,282.5,350,,235,380,400,530
48,5008,Renown Park,Adelaide,South Australia,SA,,305,367.5,,,132,332.5,480
49,5051,Blackwood,Adelaide,South Australia,SA,245,290,375,,205,395,410,525
50,5008,Ridleyton,Adelaide,South Australia,SA,100,400,425,500,,405,415,250
51,5084,Blair Athol,Adelaide,South Australia,SA,175.25,280,129.84,,,330,345,403
52,5008,West Croydon,Adelaide,South Australia,SA,,245,409.5,,,300,360,157.5
53,5114,Blakeview,Adelaide,South Australia,SA,240,270.5,310,,,280,310,372.5
54,5171,Blewitt Springs,Adelaide,South Australia,SA,,,,,,,,300
55,5009,Kilkenny,Adelaide,South Australia,SA,,295,,,150,,310,
56,5109,Brahma Lodge,Adelaide,South Australia,SA,134.75,240,285,,185,287.5,290,
57,5048,Brighton,Adelaide,South Australia,SA,350,315,417.5,,,,435,527.5
58,5010,Ferryden Park,Adelaide,South Australia,SA,247.5,,,,,280,350,400
59,5083,Broadview,Adelaide,South Australia,SA,220,285,295,,,340,340,420
60,5010,Regency Park,Adelaide,South Australia,SA,,,,,,,,
61,5011,Woodville,Adelaide,South Australia,SA,210,280,370,,,290,340,460
62,5032,Brooklyn Park,Adelaide,South Australia,SA,217.5,260,,,,320,395,650
63,5011,Woodville Park,Adelaide,South Australia,SA,,305,260,,,,350,
64,5066,Burnside,Adelaide,South Australia,SA,,347.5,417.5,,,350,570,615
65,5011,Woodville South,Adelaide,South Australia,SA,,290,450,,,290,400,550
66,5110,Burton,Adelaide,South Australia,SA,,,322.5,,,,310,345
67,5011,Woodville West,Adelaide,South Australia,SA,242.5,290,390,,,355,402.5,
68,5038,Camden Park,Adelaide,South Australia,SA,160,277.5,,335,,315,380,447.5
69,5074,Campbelltown,Adelaide,South Australia,SA,240,277.5,330,,,232.7,380,450
70,5012,Mansfield Park,Adelaide,South Australia,SA,,238,300,,,157.75,350,265
71,5012,Woodville Gardens,Adelaide,South Australia,SA,176,230,,,,72,312,
72,5014,Cheltenham,Adelaide,South Australia,SA,,101,,,,229.3,365,
73,5012,Woodville North,Adelaide,South Australia,SA,,270,,,,300,340,
74,5164,Christie Downs,Adelaide,South Australia,SA,232.5,255,242,,95,243.4,300,365
75,5013,Gillman,Adelaide,South Australia,SA,,,,,,,340,
76,5165,Christies Beach,Adelaide,South Australia,SA,222.5,247.5,350,370,220,285,320,392.5
77,5013,Ottoway,Adelaide,South Australia,SA,,250,,,,,320,450
78,5062,Clapham,Adelaide,South Australia,SA,,260,,,,320,395,
79,5013,Pennington,Adelaide,South Australia,SA,,255,,,244.175,296,315,350
80,5039,Clarence Gardens,Adelaide,South Australia,SA,,280,,,,350,365,400
81,5013,Rosewater,Adelaide,South Australia,SA,,245,,,370,305,350,370
82,5034,Clarence Park,Adelaide,South Australia,SA,250,290,390,,,400,505,500
83,5013,Rosewater East,Adelaide,South Australia,SA,,,,,,,,
84,5157,Clarendon,Adelaide,South Australia,SA,197.5,,,,185,,350,
85,5013,Wingfield,Adelaide,South Australia,SA,,,,,,280,,
86,5085,Clearview,Adelaide,South Australia,SA,195,265,320,,,300,350,420
87,5042,Clovelly Park,Adelaide,South Australia,SA,200,305,365,,,355,415,417.5
88,5069,College Park,Adelaide,South Australia,SA,,330,,,,385,,1350
89,5081,Collinswood,Adelaide,South Australia,SA,225,300,450,,,360,420,630
90,5014,Hendon,Adelaide,South Australia,SA,195,189.5,,,,,330,
91,5041,Colonel Light Gardens,Adelaide,South Australia,SA,,,,,,380,400,507.5
92,5014,Queenstown,Adelaide,South Australia,SA,180,245,,,,320,372.5,400
93,5051,Coromandel Valley,Adelaide,South Australia,SA,240,,,,,,375,507.5
94,5014,Royal Park,Adelaide,South Australia,SA,,335,420,,,340,370,
95,5033,Cowandilla,Adelaide,South Australia,SA,250,237.5,360,,,272.5,430,390
96,5051,Craigburn Farm,Adelaide,South Australia,SA,120,,,,,,542.5,670
97,5015,Ethelton,Adelaide,South Australia,SA,,295,,,,275,350,500
98,5114,Craigmore,Adelaide,South Australia,SA,,,,,165,,292.5,377.5
99,5015,Glanville,Adelaide,South Australia,SA,,,,,215,300,495,
100,5015,Port Adelaide,Adelaide,South Australia,SA,245,395,365,300,50,317.5,395,
101,5016,Largs Bay,Adelaide,South Australia,SA,212.5,280,,,,392.5,400,430
102,5041,Cumberland Park,Adelaide,South Australia,SA,,335,,,,375,450,
103,5016,Largs North,Adelaide,South Australia,SA,175,260,,,,330,380,420
104,5047,Darlington,Adelaide,South Australia,SA,160,355,,,,,370,640
105,5016,Peterhead,Adelaide,South Australia,SA,,300,307.5,,,367.5,395,
106,5113,Davoren Park,Adelaide,South Australia,SA,124.68,,280,,,225,245,315
107,5017,Osborne,Adelaide,South Australia,SA,200,240,,,,99,365,
108,5041,Daw Park,Adelaide,South Australia,SA,,300,315,,,395,392.5,
109,5017,Taperoo,Adelaide,South Australia,SA,,,,,,275,300,427.5
110,5075,Dernancourt,Adelaide,South Australia,SA,,345,330,,,,365,450
111,5018,North Haven,Adelaide,South Australia,SA,,325,325,,,325,420,420
112,5018,Outer Harbor,Adelaide,South Australia,SA,,,,,,,,
113,5110,Direk,Adelaide,South Australia,SA,,270,315,,,,315,350
114,5019,Exeter,Adelaide,South Australia,SA,,350,,,,292.5,435,350
115,5048,Dover Gardens,Adelaide,South Australia,SA,,149.7,400,,,375,400,450
116,5019,Semaphore,Adelaide,South Australia,SA,245,275,290,,145,340,457.5,580
117,5094,Dry Creek,Adelaide,South Australia,SA,,250,,,,,,
118,5019,Semaphore Park,Adelaide,South Australia,SA,,300,435,,275,370,395,
119,5019,Semaphore South,Adelaide,South Australia,SA,245,365,370,,,,450,
120,5065,Dulwich,Adelaide,South Australia,SA,290,310,295,,,,495,775
121,5020,West Lakes Shore,Adelaide,South Australia,SA,290,320,460,,,300,450,555
122,5063,Eastwood,Adelaide,South Australia,SA,400,350,,,,420,520,
123,5021,West Lakes,Adelaide,South Australia,SA,,335,512.5,420,,300,410,575
124,5050,Eden Hills,Adelaide,South Australia,SA,210,,,,,,327.5,400
125,5022,Grange,Adelaide,South Australia,SA,380,290,590,,,315,515,570
126,5039,Edwardstown,Adelaide,South Australia,SA,255,265,402.5,,190,300,367.5,370
127,5022,Henley Beach,Adelaide,South Australia,SA,220,292.5,770,710,220,390,505,787.5
128,5112,Elizabeth,Adelaide,South Australia,SA,185,220,285,,130,186,230,285
129,5022,Henley Beach South,Adelaide,South Australia,SA,230,285,,,,285,565,855
130,5113,Elizabeth Downs,Adelaide,South Australia,SA,165,260,,,165,210,245,300
131,5022,Kirkcaldy,Adelaide,South Australia,SA,,,,,,,,
132,5112,Elizabeth East,Adelaide,South Australia,SA,,,229.75,,,,255,
133,5022,Tennyson,Adelaide,South Australia,SA,,300,,,,400,580,620
134,5112,Elizabeth Grove,Adelaide,South Australia,SA,,140,,,,230,245,
135,5023,Findon,Adelaide,South Australia,SA,,240,400,,,295,380,360
136,5113,Elizabeth North,Adelaide,South Australia,SA,165,220,,,,,240,250
137,5023,Seaton,Adelaide,South Australia,SA,222.5,270,360,,107.5,290,387.5,450
138,5113,Elizabeth Park,Adelaide,South Australia,SA,141,255,,,,,270,
139,5023,Seaton North,Adelaide,South Australia,SA,,,,,,,,
140,5112,Elizabeth South,Adelaide,South Australia,SA,,190.75,,,,200,230,360
141,5024,Fulham,Adelaide,South Australia,SA,195,292.5,280,,95,,400,480
142,5112,Elizabeth Vale,Adelaide,South Australia,SA,345,,,,,,247.5,320
143,5024,Fulham Gardens,Adelaide,South Australia,SA,,310,395,,185,295,440,582.5
144,5085,Enfield,Adelaide,South Australia,SA,217.5,285,255,,267.5,277.5,337.5,392.5
145,5024,West Beach,Adelaide,South Australia,SA,227.5,265,355,,,,420,560
146,5066,Erindale,Adelaide,South Australia,SA,,,,,,,750,520
147,5025,Flinders Park,Adelaide,South Australia,SA,,280,,,,,435,555
148,5025,Kidman Park,Adelaide,South Australia,SA,,312.5,330,,,,450,515
149,5069,Evandale,Adelaide,South Australia,SA,,305,375,,,335,410,497.5
150,5031,Mile End,Adelaide,South Australia,SA,230,305,400,,178.5,375,430,390
151,5035,Everard Park,Adelaide,South Australia,SA,315,275,355,,,,480,
152,5031,Mile End South,Adelaide,South Australia,SA,,,,,,,,
153,5031,Thebarton,Adelaide,South Australia,SA,188,270,,,,345,400,550
154,5126,Fairview Park,Adelaide,South Australia,SA,180,,,,,,350,435
155,5031,Torrensville,Adelaide,South Australia,SA,235,265,397.5,,300,375,395,347.5
156,5070,Felixstow,Adelaide,South Australia,SA,,265,367.5,,,86.3,400,
157,5031,Torrensville Plaza,Adelaide,South Australia,SA,,,,,,,,
158,5032,Lockleys,Adelaide,South Australia,SA,225,275,380,,,320,410,480
159,5070,Firle,Adelaide,South Australia,SA,,280,370,,,,412.5,
160,5032,Underdale,Adelaide,South Australia,SA,197.5,277.5,325,,,335,470,550
161,5082,Fitzroy,Adelaide,South Australia,SA,285,340,275,,,,475,362.5
162,5159,Flagstaff Hill,Adelaide,South Australia,SA,,315,,,260,340,365,482.5
163,5033,Hilton Plaza,Adelaide,South Australia,SA,,,,,,,,
164,5033,Marleston,Adelaide,South Australia,SA,,277.5,450,,,342.5,460,
165,5035,Forestville,Adelaide,South Australia,SA,,300,320,,312.5,385,445,405
166,5033,Richmond,Adelaide,South Australia,SA,203,260,,,,340,377.5,80.5
167,5063,Frewville,Adelaide,South Australia,SA,,300,367.5,,,,490,767.5
168,5033,West Richmond,Adelaide,South Australia,SA,,257.5,,,,280,355,850
169,5034,Goodwood,Adelaide,South Australia,SA,205,290,,,,430,515,835
170,5063,Fullarton,Adelaide,South Australia,SA,204.5,312.5,800,,,412.5,560,680
171,5034,Kings Park,Adelaide,South Australia,SA,,350,,,,,450,
172,5094,Gepps Cross,Adelaide,South Australia,SA,180,,,,,,330,
173,5034,Millswood,Adelaide,South Australia,SA,,,,,,432.5,470,900
174,5081,Gilberton,Adelaide,South Australia,SA,347.5,347.5,487.5,,,450,465,
175,5034,Wayville,Adelaide,South Australia,SA,280,322.5,450,,,360,405,
176,5086,Gilles Plains,Adelaide,South Australia,SA,185,230,350,,,390,362.5,395
177,5037,Glandore,Adelaide,South Australia,SA,217.5,300,,,203.1,,365,550
178,5064,Glen Osmond,Adelaide,South Australia,SA,,275,,,,290,590,690
179,5035,Keswick,Adelaide,South Australia,SA,,267.5,,,,430,392.5,
180,5052,Glenalta,Adelaide,South Australia,SA,275,310,,,,,485,480
181,5035,Keswick Terminal,Adelaide,South Australia,SA,,,,,,,,
182,5045,Glenelg,Adelaide,South Australia,SA,260,320,400,575,230,330,465,650
183,5045,Glenelg East,Adelaide,South Australia,SA,240,295,355,,,410,465,650
184,5037,Kurralta Park,Adelaide,South Australia,SA,245,250,475,250,,335,410,
185,5045,Glenelg North,Adelaide,South Australia,SA,245,300,475,540,,350,445,625
186,5037,Netley,Adelaide,South Australia,SA,,280,440,,,,360,
187,5045,Glenelg South,Adelaide,South Australia,SA,250,330,415,,,435,455,
188,5037,North Plympton,Adelaide,South Australia,SA,178,350,475,,170,247.77,385,155
189,5044,Glengowrie,Adelaide,South Australia,SA,167.5,140,327.5,,,330,420,450
190,5065,Glenside,Adelaide,South Australia,SA,262.5,300,420,,,445,660,577.5
191,5038,Plympton,Adelaide,South Australia,SA,220,285,300,,245,335,320,400
192,5064,Glenunga,Adelaide,South Australia,SA,195,325,435,575,,,567.5,800
193,5038,Plympton Park,Adelaide,South Australia,SA,,195.95,,,210,335,270,407.5
194,5110,Globe Derby Park,Adelaide,South Australia,SA,,,,,,,,450
195,5038,South Plympton,Adelaide,South Australia,SA,250,285,380,,170,345,380,440
196,5070,Glynde,Adelaide,South Australia,SA,,305,420,,,320,422.5,425
197,5125,Golden Grove,Adelaide,South Australia,SA,,297.5,360,,390,290,370,510
198,5039,Melrose Park,Adelaide,South Australia,SA,176.18,310,310,,,320,370,
199,5040,Novar Gardens,Adelaide,South Australia,SA,,,,,,,400,560
200,5086,Greenacres,Adelaide,South Australia,SA,,255,,,,300,350,
201,5125,Greenwith,Adelaide,South Australia,SA,,,,,,275,350,442.5
202,5096,Gulfview Heights,Adelaide,South Australia,SA,,260,,,,,405,610
203,5163,Hackham,Adelaide,South Australia,SA,225,270,252.1,,165,90,295,365
204,5041,Panorama,Adelaide,South Australia,SA,,287.5,,,,352.5,400,440
205,5163,Hackham West,Adelaide,South Australia,SA,89.7,,,,,,295,
206,5041,Westbourne Park,Adelaide,South Australia,SA,247.5,282.5,,,,,575,490
207,5069,Hackney,Adelaide,South Australia,SA,,,385,,,360,200,675
208,5158,Hallett Cove,Adelaide,South Australia,SA,,335,,,,295,370,440
209,5086,Hampstead Gardens,Adelaide,South Australia,SA,157,280,,,,335,275,
210,5042,Flinders University,Adelaide,South Australia,SA,,,,,,,,
211,5159,Happy Valley,Adelaide,South Australia,SA,,,435,,,,345,390
212,5042,Pasadena,Adelaide,South Australia,SA,,262.5,,,,325,375,425
213,5062,Hawthorn,Adelaide,South Australia,SA,235,302.5,,,,,520,170
214,5042,St Marys,Adelaide,South Australia,SA,230,250,,,150,,360,
215,5051,Hawthorndene,Adelaide,South Australia,SA,180,,,,,292.5,420,422.5
216,5066,Hazelwood Park,Adelaide,South Australia,SA,275,327.5,,,,,550,515
217,5043,Marion,Adelaide,South Australia,SA,45.05,260,450,,,300,390,460
218,5068,Heathpool,Adelaide,South Australia,SA,,295,,,,,562.5,
219,5043,Mitchell Park,Adelaide,South Australia,SA,215,270,385,,,244,360,
220,5073,Hectorville,Adelaide,South Australia,SA,255,280,445,,,277.5,375,360
221,5043,Morphettville,Adelaide,South Australia,SA,,167.1,340,,,273.2,187.65,400
222,5043,Park Holme,Adelaide,South Australia,SA,183,250,350,,,310,191.8,420
223,5044,Somerton Park,Adelaide,South Australia,SA,211,310,420,750,,405,430,550
224,5089,Highbury,Adelaide,South Australia,SA,,,330,,,,350,475
225,5063,Highgate,Adelaide,South Australia,SA,250,305,407.5,600,,725,530,
226,5112,Hillbank,Adelaide,South Australia,SA,,220,,,,217.5,320,360
227,5045,Glenelg Jetty Road,Adelaide,South Australia,SA,,,,,,,,
228,5086,Hillcrest,Adelaide,South Australia,SA,,272.5,,,,122.6,375,440
229,5046,Oaklands Park,Adelaide,South Australia,SA,226,290,372.5,,250,364,410,410
230,5088,Holden Hill,Adelaide,South Australia,SA,,260,280,,,290,345,
231,5046,Warradale,Adelaide,South Australia,SA,220,297.5,350,450,,335,435,420
232,5046,Warradale North,Adelaide,South Australia,SA,,,,,,,,
233,5048,Hove,Adelaide,South Australia,SA,310,285,340,,,340,390,470
234,5163,Huntfield Heights,Adelaide,South Australia,SA,,,291,,,285,300,380
235,5047,Seacombe Gardens,Adelaide,South Australia,SA,285,,357.5,,,212.95,390,425
236,5047,Seacombe Heights,Adelaide,South Australia,SA,,,,,,,395,520
237,5098,Ingle Farm,Adelaide,South Australia,SA,235,,241.5,,130,265,335,360
238,5047,Sturt,Adelaide,South Australia,SA,146,350,430,,,365,402.5,475
239,5070,Joslin,Adelaide,South Australia,SA,300,295,,,,430,,630
240,5157,Kangarilla,Adelaide,South Australia,SA,,,,,,,360,
241,5068,Kensington,Adelaide,South Australia,SA,,322.5,380,,,410,435,790
242,5068,Kensington Gardens,Adelaide,South Australia,SA,181,325,,,,,445,605
243,5048,North Brighton,Adelaide,South Australia,SA,,295,420,,,395,520,750
244,5068,Kensington Park,Adelaide,South Australia,SA,265,340,,,,445,425,
245,5048,South Brighton,Adelaide,South Australia,SA,215,300,360,,350,340,360,495
246,5067,Kent Town,Adelaide,South Australia,SA,330,260,537.5,,,295,620,
247,5071,Kent Town,Adelaide,South Australia,SA,330,260,537.5,,,295,620,
248,5049,Kingston Park,Adelaide,South Australia,SA,265,325,,,,,,570
249,5049,Marino,Adelaide,South Australia,SA,,,600,,,,400,475
250,5049,Seacliff,Adelaide,South Australia,SA,,310,362,,,362.5,462.5,755
251,5084,Kilburn,Adelaide,South Australia,SA,275,240,307.5,,125,246.5,280,172.5
252,5049,Seacliff Park,Adelaide,South Australia,SA,,280,,,430,,467.5,510
253,5049,Seaview Downs,Adelaide,South Australia,SA,,,,,250,330,410,420
254,5062,Kingswood,Adelaide,South Australia,SA,,330,,,,,537.5,627.5
255,5087,Klemzig,Adelaide,South Australia,SA,220,270,350,,380,280,357.5,377.5
256,5068,Leabrook,Adelaide,South Australia,SA,262.5,300,,,,,570,
257,5065,Linden Park,Adelaide,South Australia,SA,255,310,390,,,320,675,880
258,5061,Malvern,Adelaide,South Australia,SA,250,360,,,,397.5,495,650
259,5061,Unley,Adelaide,South Australia,SA,275,335,460,,190,412.5,520,520
260,5062,Lower Mitcham,Adelaide,South Australia,SA,250,320,380,,,365,435,800
261,5061,Unley Park,Adelaide,South Australia,SA,,342.5,440,,,,,525
262,5062,Lynton,Adelaide,South Australia,SA,,,,,,,,750
263,5062,Brown Hill Creek,Adelaide,South Australia,SA,,,,,,,,
264,5121,Macdonald Park,Adelaide,South Australia,SA,,,,,,,,460
265,5072,Magill,Adelaide,South Australia,SA,225,275,350,,550,352.5,420,535
266,5086,Manningham,Adelaide,South Australia,SA,220,,,,,,380,450
267,5070,Marden,Adelaide,South Australia,SA,245,305,308,,,86.3,450,580
268,5062,Mitcham,Adelaide,South Australia,SA,,280,,,,,730,
269,5062,Mitcham Shopping Centre,Adelaide,South Australia,SA,,,,,,,,
270,5062,Netherby,Adelaide,South Australia,SA,,285,,,,320,545,
271,5062,Springfield,Adelaide,South Australia,SA,,,,,,,,
272,5068,Marryatville,Adelaide,South Australia,SA,180,342.5,495,,,375,535,
273,5062,Torrens Park,Adelaide,South Australia,SA,,277.5,,,,390,400,420
274,5170,Maslin Beach,Adelaide,South Australia,SA,,,,,,340,330,
275,5095,Mawson Lakes,Adelaide,South Australia,SA,230,310,345,,,330,380,460
276,5069,Maylands,Adelaide,South Australia,SA,,322.5,,,240,335,395,600
277,5171,Mclaren Flat,Adelaide,South Australia,SA,,,,,,,350,450
278,5171,Mclaren Vale,Adelaide,South Australia,SA,,,,,,,340,482.5
279,5063,Parkside,Adelaide,South Australia,SA,257.5,335,400,,310,437.5,520,612.5
280,5081,Medindie,Adelaide,South Australia,SA,,,,,175,,450,
281,5081,Medindie Gardens,Adelaide,South Australia,SA,,,,,,,550,430
282,5064,Mount Osmond,Adelaide,South Australia,SA,,,,,,,510,
283,5064,Myrtle Bank,Adelaide,South Australia,SA,181,285,390,,,325,500,
284,5064,St Georges,Adelaide,South Australia,SA,,350,,,,,490,797.5
285,5064,Urrbrae,Adelaide,South Australia,SA,,,,,,,400,720
286,5169,Moana,Adelaide,South Australia,SA,,282.5,522.5,,150,280,330,420
287,5092,Modbury,Adelaide,South Australia,SA,175,275,315,,,272.5,330,350
288,5092,Modbury Heights,Adelaide,South Australia,SA,,,,,,,350,425
289,5065,Toorak Gardens,Adelaide,South Australia,SA,257.5,325,,,,,750,975
290,5092,Modbury North,Adelaide,South Australia,SA,,295,320,,,,352.5,365
291,5065,Tusmore,Adelaide,South Australia,SA,,335,,,,,,
292,5162,Morphett Vale,Adelaide,South Australia,SA,160,270,297.5,342,165,295,315,372.5
293,5115,Munno Para,Adelaide,South Australia,SA,,265,221.6,,,267,285,320
294,5066,Stonyfell,Adelaide,South Australia,SA,,,,,,,,480
295,5115,Munno Para Downs,Adelaide,South Australia,SA,,,,,,,,365
296,5066,Waterfall Gully,Adelaide,South Australia,SA,,,,,,,,
297,5115,Munno Para West,Adelaide,South Australia,SA,,196,302.5,,,,300,335
298,5066,Wattle Park,Adelaide,South Australia,SA,,,,,,340,410,422.5
299,5083,Nailsworth,Adelaide,South Australia,SA,223.5,280,,,,335,367.5,470
300,5067,Norwood,Adelaide,South Australia,SA,252.5,337.5,480,,297.5,420,517.5,570
301,5067,Norwood South,Adelaide,South Australia,SA,,,,,,,,
302,5067,Rose Park,Adelaide,South Australia,SA,312.5,290,880,,,,600,850
303,5074,Newton,Adelaide,South Australia,SA,,307.5,280,,180,310,370,440
304,5168,Noarlunga Centre,Adelaide,South Australia,SA,149.5,102.9,,,,148.25,300,
305,5168,Noarlunga Downs,Adelaide,South Australia,SA,,,,,,,320,410
306,5068,St Morris,Adelaide,South Australia,SA,230,250,375,,250,300,355,
307,5068,Trinity Gardens,Adelaide,South Australia,SA,,295,,,,375,430,
308,5085,Northfield,Adelaide,South Australia,SA,,290,232.7,,,285,347,420
309,5085,Northgate,Adelaide,South Australia,SA,,,380,,,365,400,510
310,5069,St Peters,Adelaide,South Australia,SA,260,277.5,320,,195,,520,727.5
311,5069,Stepney,Adelaide,South Australia,SA,150,307.5,,,,355,460,
312,5086,Oakden,Adelaide,South Australia,SA,,,,,160,,370,480
313,5168,Old Noarlunga,Adelaide,South Australia,SA,,,,,,172.05,290,
314,5161,Old Reynella,Adelaide,South Australia,SA,,262.5,,,,,355,365
315,5070,Glynde Plaza,Adelaide,South Australia,SA,,,,,,,,
316,5114,One Tree Hill,Adelaide,South Australia,SA,,,,,,350,300,
317,5163,Onkaparinga Hills,Adelaide,South Australia,SA,,,,,,,355,420
318,5070,Payneham,Adelaide,South Australia,SA,195,272.5,372.5,,,335,405,430
319,5070,Payneham South,Adelaide,South Australia,SA,,302.5,500,,,,530,530
320,5082,Ovingham,Adelaide,South Australia,SA,205,280,242,,,420,360,605
321,5070,Royston Park,Adelaide,South Australia,SA,,380,575,280,,300,330,1000
322,5096,Para Hills,Adelaide,South Australia,SA,180,236,280,,,300,320,300
323,5096,Para Hills West,Adelaide,South Australia,SA,,255,292.5,,,265,325,
324,5093,Para Vista,Adelaide,South Australia,SA,,285,,,,250,315,
325,5072,Magill North,Adelaide,South Australia,SA,,,,,,,,
326,5075,Paradise,Adelaide,South Australia,SA,235,265,325,,230,380,380,360
327,5072,Magill South,Adelaide,South Australia,SA,,,,,,,,
328,5107,Parafield Gardens,Adelaide,South Australia,SA,,242.5,,,55.6,253.45,310,382.5
329,5072,Rosslyn Park,Adelaide,South Australia,SA,,,,,250,,490,810
330,5108,Paralowie,Adelaide,South Australia,SA,,250,265,,260,246.5,315,380
331,5072,Skye,Adelaide,South Australia,SA,,,,,,,450,
332,5072,Teringie,Adelaide,South Australia,SA,,,,,,,,
333,5072,Woodforde,Adelaide,South Australia,SA,,,,,,,500,
334,5073,Rostrevor,Adelaide,South Australia,SA,,297.5,,,,322.5,405,495
335,5073,Tranmere,Adelaide,South Australia,SA,,307.5,480,,,,437.5,920
336,5121,Penfield,Adelaide,South Australia,SA,,250,,,,,330,320
337,5073,Tranmere North,Adelaide,South Australia,SA,,,,,,,,
338,5095,Pooraka,Adelaide,South Australia,SA,,270,275,,,305,325,400
339,5076,Castambul,Adelaide,South Australia,SA,,,,,,,,
340,5167,Port Noarlunga,Adelaide,South Australia,SA,,255,367.5,,185,270,330,400
341,5167,Port Noarlunga South,Adelaide,South Australia,SA,,,,,,310,342.5,425
342,5173,Port Willunga,Adelaide,South Australia,SA,,270,,,,250,320,360
343,5082,Prospect,Adelaide,South Australia,SA,230,300,440,,170,350,400,507.5
344,5081,Vale Park,Adelaide,South Australia,SA,,275,450,,,,365,610
345,5097,Redwood Park,Adelaide,South Australia,SA,,230,,,,,340,480
346,5081,Walkerville,Adelaide,South Australia,SA,400,407.5,700,875,,550,497.5,750
347,5161,Reynella,Adelaide,South Australia,SA,,260,305,390,,,335,425
348,5161,Reynella East,Adelaide,South Australia,SA,,,,,,,330,330
349,5082,Prospect East,Adelaide,South Australia,SA,,,,,,,,
350,5097,Ridgehaven,Adelaide,South Australia,SA,,280,,,260,200.65,340,360
351,5082,Prospect West,Adelaide,South Australia,SA,,,,,,,,
352,5082,Thorngate,Adelaide,South Australia,SA,,,,,,,350,
353,5083,Sefton Park,Adelaide,South Australia,SA,,290,,,,,385,
354,5084,Blair Athol West,Adelaide,South Australia,SA,,,,,,,,
355,5108,Salisbury,Adelaide,South Australia,SA,165.65,230,315,,165,270,285,340
356,5084,Kilburn North,Adelaide,South Australia,SA,,,,,,,,
