PropertyMedianID,Suburb,PropertyMedian,UpdatedYear
191,MITCHAM,772500,2016
192,NETHERBY,1680000,2016
193,PANORAMA,636000,2016
194,PASADENA,490000,2016
195,SPRINGFIELD,4600000,2016
196,ST MARYS,436475,2016
197,TORRENS PARK,682500,2016
198,UPPER STURT,519500,2016
199,URRBRAE,600000,2016
200,WESTBOURNE PARK,897500,2016
201,COLLEGE PARK,1864500,2016
202,EVANDALE,664500,2016
203,FELIXSTOW,537000,2016
204,FIRLE,756000,2016
205,GLYNDE,689000,2016
206,HACKNEY,620000,2016
207,HEATHPOOL,1020000,2016
208,JOSLIN,1350000,2016
209,KENSINGTON,645000,2016
210,KENT TOWN,1720000,2016
211,MARDEN,680000,2016
212,MARRYATVILLE,927500,2016
213,MAYLANDS,990000,2016
214,NORWOOD,847500,2016
215,PAYNEHAM,630000,2016
216,PAYNEHAM SOUTH,780000,2016
217,ROYSTON PARK,2950000,2016
218,ST MORRIS,629750,2016
219,ST PETERS,1265000,2016
220,STEPNEY,1370000,2016
221,TRINITY GARDENS,832500,2016
222,ABERFOYLE PARK,410000,2016
223,ALDINGA,,2016
224,ALDINGA BEACH,353250,2016
225,BLEWITT SPRINGS,,2016
226,CHANDLERS HILL,,2016
227,CHERRY GARDENS,,2016
228,CHRISTIE DOWNS,273500,2016
229,CHRISTIES BEACH,350000,2016
230,CLARENDON,,2016
231,COROMANDEL EAST,,2016
232,COROMANDEL VALLEY,487500,2016
233,CRAIGBURN FARM,735000,2016
234,DARLINGTON,445500,2016
235,DORSET VALE,,2016
236,FLAGSTAFF HILL,498000,2016
237,HACKHAM,247500,2016
238,HACKHAM WEST,249000,2016
239,HALLETT COVE,455000,2016
240,HAPPY VALLEY,385000,2016
241,HUNTFIELD HEIGHTS,296000,2016
242,IRONBANK,1000000,2016
243,KANGARILLA,,2016
244,LONSDALE,,2016
245,MASLIN BEACH,487400,2016
246,MCLAREN FLAT,390500,2016
247,MCLAREN VALE,439500,2016
248,MOANA,585000,2016
249,MORPHETT VALE,300000,2016
250,NOARLUNGA CENTRE,320000,2016
251,NOARLUNGA DOWNS,359000,2016
252,O'HALLORAN HILL,365000,2016
253,OLD NOARLUNGA,319000,2016
254,OLD REYNELLA,375000,2016
255,ONKAPARINGA HILLS,440000,2016
256,O'SULLIVAN BEACH,290250,2016
257,PORT NOARLUNGA,365000,2016
258,PORT NOARLUNGA SOUTH,372000,2016
259,PORT WILLUNGA,310000,2016
260,REYNELLA,327750,2016
261,REYNELLA EAST,320000,2016
262,SEAFORD,328000,2016
263,SEAFORD HEIGHTS,,2016
264,SEAFORD MEADOWS,395000,2016
265,SEAFORD RISE,420000,2016
266,SELLICKS BEACH,340000,2016
267,SELLICKS HILL,,2016
268,TATACHILLA,,2016
269,THE RANGE,,2016
270,VALE PARK,523250,2016
271,WHITES VALLEY,,2016
272,WILLUNGA,456500,2016
273,WILLUNGA SOUTH,,2016
274,WOODCROFT,375000,2016
275,ANDREWS FARM,275000,2016
276,ANGLE VALE,469250,2016
277,BIBARINGA,,2016
278,BLAKEVIEW,361500,2016
279,BUCKLAND PARK,,2016
280,CRAIGMORE,271000,2016
281,DAVOREN PARK,183000,2016
282,EDINBURGH,,2016
283,EDINBURGH NORTH,,2016
284,ELIZABETH,197500,2016
285,ELIZABETH DOWNS,193000,2016
286,ELIZABETH EAST,207000,2016
287,ELIZABETH GROVE,220000,2016
288,ELIZABETH NORTH,210000,2016
289,ELIZABETH PARK,217500,2016
290,ELIZABETH SOUTH,198500,2016
291,ELIZABETH VALE,265000,2016
292,EVANSTON PARK,371000,2016
293,EYRE,,2016
294,GOULD CREEK,,2016
295,HILLBANK,330000,2016
296,HILLIER,,2016
297,HUMBUG SCRUB,,2016
298,MACDONALD PARK,,2016
299,MUNNO PARA,267500,2016
300,MUNNO PARA DOWNS,,2016
301,MUNNO PARA WEST,262000,2016
302,ONE TREE HILL,390000,2016
303,PENFIELD,260000,2016
304,PENFIELD GARDENS,,2016
305,SAMPSON FLAT,,2016
306,SMITHFIELD,259475,2016
307,SMITHFIELD PLAINS,188000,2016
308,ST KILDA,,2016
309,ULEYBURY,,2016
310,VIRGINIA,557000,2016
311,WATERLOO CORNER,,2016
312,YATTALUNGA,,2016
313,ALBERTON,471500,2016
314,ANGLE PARK,370000,2016
315,BIRKENHEAD,340000,2016
316,BLAIR ATHOL,428750,2016
317,BROADVIEW,510000,2016
318,CLEARVIEW,420000,2016
319,CROYDON PARK,425000,2016
320,DERNANCOURT,468750,2016
321,DEVON PARK,,2016
322,DRY CREEK,269500,2016
323,DUDLEY PARK,470000,2016
324,ENFIELD,395000,2016
325,ETHELTON,385000,2016
326,EXETER,385000,2016
327,FERRYDEN PARK,450000,2016
328,GEPPS CROSS,361250,2016
329,GILLES PLAINS,443000,2016
330,GILLMAN,350000,2016
331,GLANVILLE,400000,2016
332,GREENACRES,445000,2016
333,HAMPSTEAD GARDENS,414500,2016
334,HILLCREST,415000,2016
335,HOLDEN HILL,365000,2016
336,KILBURN,450000,2016
337,KLEMZIG,485000,2016
338,LARGS BAY,416750,2016
339,LARGS NORTH,380000,2016
340,LIGHTSVIEW,507500,2016
341,MANNINGHAM,597500,2016
342,MANSFIELD PARK,450000,2016
343,NEW PORT,,2016
344,NORTH HAVEN,488750,2016
345,NORTHFIELD,406000,2016
346,NORTHGATE,490000,2016
347,OAKDEN,540556,2016
348,OSBORNE,420000,2016
349,OTTOWAY,365000,2016
350,OUTER HARBOR,,2016
351,OVINGHAM,,2016
352,PETERHEAD,360000,2016
353,PORT ADELAIDE,337500,2016
354,PROSPECT,570000,2016
355,QUEENSTOWN,380250,2016
356,REGENCY PARK,,2016
357,ROSEWATER,340000,2016
358,SEFTON PARK,531630,2016
359,SEMAPHORE,525000,2016
360,SEMAPHORE SOUTH,701500,2016
361,TAPEROO,343000,2016
362,VALLEY VIEW,386000,2016
363,WALKLEY HEIGHTS,552500,2016
364,WINDSOR GARDENS,415500,2016
365,WINGFIELD,290000,2016
366,WOODVILLE GARDENS,410786,2016
367,BROADVIEW,510000,2016
368,COLLINSWOOD,670000,2016
369,FITZROY,1080000,2016
370,MEDINDIE GARDENS,,2016
371,NAILSWORTH,677250,2016
372,OVINGHAM,,2016
373,PROSPECT,570000,2016
374,SEFTON PARK,531630,2016
375,THORNGATE,,2016
376,BOLIVAR,,2016
377,BRAHMA LODGE,277250,2016
378,BURTON,347750,2016
379,CAVAN,,2016
380,DIREK,322500,2016
381,DRY CREEK,269500,2016
382,EDINBURGH,,2016
383,ELIZABETH VALE,265000,2016
384,GLOBE DERBY PARK,,2016
385,GREEN FIELDS,359250,2016
386,GULFVIEW HEIGHTS,502750,2016
387,INGLE FARM,324000,2016
388,MAWSON LAKES,465000,2016
389,MODBURY HEIGHTS,385000,2016
390,PARA HILLS,314500,2016
391,PARA HILLS WEST,315000,2016
392,PARA VISTA,347500,2016
393,PARAFIELD GARDENS,313400,2016
394,PARALOWIE,315000,2016
395,POORAKA,345000,2016
396,SALISBURY,300000,2016
397,SALISBURY DOWNS,291500,2016
398,SALISBURY EAST,310000,2016
399,SALISBURY HEIGHTS,430000,2016
400,SALISBURY NORTH,264000,2016
401,SALISBURY PARK,302500,2016
402,SALISBURY PLAIN,290000,2016
403,SALISBURY SOUTH,,2016
404,ST KILDA,,2016
405,VALLEY VIEW,386000,2016
406,WALKLEY HEIGHTS,552500,2016
407,WATERLOO CORNER,,2016
408,BANKSIA PARK,347500,2016
409,DERNANCOURT,468750,2016
410,FAIRVIEW PARK,380500,2016
411,GILLES PLAINS,443000,2016
412,GOLDEN GROVE,455750,2016
413,GOULD CREEK,,2016
414,GREENWITH,443000,2016
415,GULFVIEW HEIGHTS,502750,2016
416,HIGHBURY,480000,2016
417,HOLDEN HILL,365000,2016
418,HOPE VALLEY,385000,2016
419,MODBURY,370000,2016
420,MODBURY HEIGHTS,385000,2016
421,MODBURY NORTH,360000,2016
422,REDWOOD PARK,365000,2016
423,RIDGEHAVEN,335000,2016
424,SALISBURY EAST,310000,2016
425,SALISBURY HEIGHTS,430000,2016
426,ST AGNES,386500,2016
427,SURREY DOWNS,360000,2016
428,TEA TREE GULLY,430000,2016
429,VALLEY VIEW,386000,2016
430,VISTA,525000,2016
431,WYNN VALE,442500,2016
432,YATALA VALE,305000,2016
433,BLACK FOREST,575000,2016
434,CLARENCE PARK,560000,2016
435,EVERARD PARK,,2016
436,FORESTVILLE,670000,2016
